Father_height,Mother_height,Child_height,gender
78.5,67.0,73.2,1
78.5,67.0,69.2,0
78.5,67.0,69.0,0
78.5,67.0,69.0,0
75.5,66.5,73.5,1
75.5,66.5,72.5,1
75.5,66.5,65.5,0
75.5,66.5,65.5,0
75.0,64.0,71.0,1
75.0,64.0,68.0,0
75.0,64.0,70.5,1
75.0,64.0,68.5,1
75.0,64.0,67.0,0
75.0,64.0,64.5,0
75.0,64.0,63.0,0
75.0,58.5,72.0,1
75.0,58.5,69.0,1
75.0,58.5,68.0,1
75.0,58.5,66.5,0
75.0,58.5,62.5,0
75.0,58.5,62.5,0
74.0,68.0,69.5,0
74.0,68.0,76.5,1
74.0,68.0,74.0,1
74.0,68.0,73.0,1
74.0,68.0,73.0,1
74.0,68.0,70.5,0
74.0,68.0,64.0,0
74.0,66.5,70.5,0
74.0,66.5,68.0,0
74.0,66.5,66.0,0
74.5,66.0,66.0,0
74.0,65.5,65.5,0
74.0,62.0,74.0,1
74.0,62.0,70.0,1
74.0,62.0,68.0,0
74.0,62.0,67.0,0
74.0,62.0,67.0,0
74.0,62.0,66.0,0
74.0,62.0,63.5,0
74.0,62.0,63.0,0
74.0,61.0,65.0,0
73.0,67.0,71.0,1
73.0,67.0,62.0,0
73.0,67.0,68.0,1
73.0,67.0,67.0,1
73.0,66.5,71.0,1
73.0,66.5,70.5,1
73.0,66.5,66.7,0
73.0,65.0,72.0,1
73.0,65.0,70.5,1
73.0,65.0,70.2,1
73.0,65.0,70.2,1
73.0,65.0,69.2,1
73.0,65.0,68.7,0
73.0,65.0,66.5,0
73.0,65.0,64.5,0
73.0,65.0,63.5,0
73.0,64.5,74.0,1
73.0,64.5,73.0,1
73.0,64.5,71.5,1
73.0,64.5,62.5,1
73.0,64.5,66.5,0
73.0,64.5,62.3,0
73.0,64.0,66.0,0
73.0,64.0,64.5,0
73.0,64.0,64.0,0
73.2,63.0,62.7,0
72.7,69.0,73.2,1
72.7,69.0,73.0,1
72.7,69.0,72.7,1
72.7,69.0,70.0,0
72.7,69.0,69.0,0
72.7,69.0,68.5,0
72.7,69.0,68.0,0
72.7,69.0,66.0,0
72.0,68.0,73.0,1
72.0,68.0,68.5,0
72.0,68.0,68.0,0
72.0,67.0,73.0,1
72.0,67.0,71.0,1
72.0,67.0,67.0,0
72.0,65.0,74.2,1
72.0,65.0,70.5,1
72.0,65.0,69.5,1
72.0,65.0,66.0,0
72.0,65.0,65.5,0
72.0,65.0,65.0,0
72.0,65.0,65.0,0
72.0,65.5,65.5,0
72.0,64.0,66.0,0
72.0,64.0,63.0,0
72.0,63.0,70.5,1
72.0,63.0,70.5,1
72.0,63.0,69.0,1
72.0,63.0,65.0,0
72.0,63.0,63.0,0
72.0,63.0,69.0,1
72.0,63.0,67.0,1
72.0,63.0,63.0,0
72.0,63.0,73.0,1
72.0,63.0,67.0,1
72.0,63.0,70.5,0
72.0,63.0,70.0,0
72.0,63.0,66.5,0
72.0,63.0,63.0,0
72.5,63.5,67.5,0
72.5,63.5,67.2,0
72.5,63.5,66.7,0
72.0,62.0,64.0,0
72.5,62.0,71.0,1
72.5,62.0,70.0,1
72.5,62.0,70.0,1
72.5,62.0,66.0,0
72.5,62.0,65.0,0
72.5,62.0,65.0,0
72.0,62.0,74.0,1
72.0,62.0,72.0,1
72.0,62.0,69.0,1
72.0,62.0,67.5,0
72.0,62.0,63.5,0
72.0,62.0,72.0,1
72.0,62.0,71.5,1
72.0,62.0,71.5,1
72.0,62.0,70.0,1
72.0,62.0,68.0,0
72.0,61.0,65.7,0
71.0,69.0,78.0,1
71.0,69.0,74.0,1
71.0,69.0,73.0,1
71.0,69.0,72.0,1
71.0,69.0,67.0,0
71.0,67.0,73.2,1
71.0,67.0,73.0,1
71.0,67.0,69.0,1
71.0,67.0,67.0,0
71.0,66.0,70.0,1
71.0,66.0,67.0,0
71.0,66.0,67.0,0
71.0,66.0,66.5,0
71.0,66.0,70.0,1
71.0,66.0,69.0,1
71.0,66.0,68.5,1
71.0,66.0,66.0,0
71.0,66.0,64.5,0
71.0,66.0,63.0,0
71.0,66.0,71.0,1
71.0,66.0,67.0,0
71.0,66.0,76.0,1
71.0,66.0,72.0,1
71.0,66.0,71.0,1
71.0,66.0,66.0,1
